 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     SPECIFIC HEAT COEFFICIENTS                                                                     

             Cp = A + B*T + C*T^2 + D*T^3 + E*T^4  [J/kg/K]                                                         

    Species                      Cp(298K)         Cp(1000K)          LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)             A(HT)           B(HT)            C(HT)            D(HT)           E(HT)      
   26. C4H8-1                   1.526570e+03     3.504764e+03     1.392000e+03    -1.231983e+02     6.706651e+00    -4.351631e-03     1.485134e-06    -2.121911e-10     1.682048e+03     2.676518e+00    -9.129682e-04     1.414669e-07    -8.196056e-12
   27. NC5H10                   1.531165e+03     3.516101e+03     1.389000e+03    -6.420168e+01     6.397280e+00    -3.835177e-03     1.158721e-06    -1.405221e-10     1.672829e+03     2.707055e+00    -9.230575e-04     1.430032e-07    -8.284185e-12
   28. NC6H12                   1.571451e+03     3.556549e+03     1.000000e+03     1.944823e+02     4.708015e+00     6.521736e-04    -3.669911e-06     1.671790e-09     1.843817e+03     2.071794e+00    -3.070707e-04    -6.782174e-08     1.582991e-11
   29. NC7H14                   1.557030e+03     3.562572e+03     1.390000e+03    -9.867822e+01     6.693298e+00    -4.200897e-03     1.342733e-06    -1.738835e-10     1.745982e+03     2.666117e+00    -9.074284e-04     1.404198e-07    -8.128355e-12
   30. NC8H16                   2.006192e+03     4.532184e+03     6.099300e+02    -9.327178e+01     8.409092e+00    -4.921351e-03     1.163664e-06    -2.594882e-11    -9.327178e+01     8.409092e+00    -4.921351e-03     1.163664e-06    -2.594882e-11
   31. NC9H18                   1.967231e+03     4.442299e+03     6.350000e+02    -1.051797e+02     8.326125e+00    -4.967875e-03     1.238797e-06    -4.956759e-11    -1.051797e+02     8.326125e+00    -4.967875e-03     1.238797e-06    -4.956759e-11
   32. NC10H20                  1.570517e+03     3.602359e+03     1.390000e+03    -1.504220e+02     7.013366e+00    -4.600385e-03     1.556836e-06    -2.170363e-10     1.816278e+03     2.636286e+00    -9.044117e-04     1.406965e-07    -8.174421e-12
   33. NC11H22                  1.910559e+03     4.311558e+03     6.768700e+02    -1.225004e+02     8.205447e+00    -5.035547e-03     1.348081e-06    -8.392216e-11    -1.225004e+02     8.205447e+00    -5.035547e-03     1.348081e-06    -8.392216e-11
   34. NC12H24                  1.889308e+03     4.262531e+03     6.941900e+02    -1.289956e+02     8.160193e+00    -5.060924e-03     1.389063e-06    -9.680512e-11    -1.289956e+02     8.160193e+00    -5.060924e-03     1.389063e-06    -9.680512e-11
   35. C4H6                     1.371573e+03     3.028088e+03     1.000000e+03     6.311313e+02     7.771184e-01     8.974883e-03    -1.238823e-05     5.033187e-09     1.172247e+03     2.651851e+00    -9.363760e-04     1.492213e-07    -8.856285e-12
