------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	N         14.00699997
  4.	HE         4.00299978
------------------------------


--------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       N      HE
   81. NC30H57_A             1       860.6960        10.9250         0.0000         0.0000         0.0000
   82. NC45H87_A             1      1119.9710        13.0870         0.0000         0.0000         0.0000
   83. NC60H117_A            1      2259.6970        11.2880         0.0000         0.0000         0.0000
------------------------------------------------------------------------------------------------------------------


------------------------------------------------------------------------------------------------------------------
  Species                  Shape       eps/kb          sigma             mu           alfa        zRot298         
------------------------------------------------------------------------------------------------------------------
    1. N2                    1        97.5300         3.6210         0.0000         1.7600         4.0000
    2. HE                    0        10.2000         2.5760         0.0000         0.0000         0.0000
    3. P-HDPE-P_S            2       650.0000         8.3500         0.0000         0.0000         1.0000
    4. P-HDPE-P              2       650.0000         8.3500         0.0000         0.0000         1.0000
    5. P-NC40H79-P           2       650.0000         8.3500         0.0000         0.0000         1.0000
    6. P-NC40H81             2       650.0000         8.3500         0.0000         0.0000         1.0000
    7. P-NC40H79             2       650.0000         8.3500         0.0000         0.0000         1.0000
    8. P-NC40H80             2       650.0000         8.3500         0.0000         0.0000         1.0000
    9. P-NC40H80_T           2       650.0000         8.3500         0.0000         0.0000         1.0000
   10. P-NC40H78             2       650.0000         8.3500         0.0000         0.0000         1.0000
   11. P-NC40H78_A           2       650.0000         8.3500         0.0000         0.0000         1.0000
   12. CH4                   2       141.4000         3.7460         0.0000         2.6000        13.0000
   13. C2H6                  2       247.5000         4.3500         0.0000         0.0000         1.5000
   14. C3H8                  2       303.4000         4.8100         0.0000         0.0000         1.0000
   15. NC4H10                2       352.0000         5.2400         0.0000         0.0000         1.0000
   16. NC5H12                2       392.0000         5.6400         0.0000         0.0000         1.0000
   17. NC6H14                1       436.0320         5.9140         0.0000         0.0000         0.0000
   18. NC7H16                2       459.9800         6.3100         0.0000         0.0000         1.0000
   19. NC8H18                1       494.1440         6.5330         0.0000         0.0000         0.0000
   20. NC9H20                1       518.7850         6.8170         0.0000         0.0000         0.0000
   21. NC10H22               2       540.9800         7.1500         0.0000         0.0000         1.0000
   22. NC11H24               1       562.0480         7.3490         0.0000         0.0000         0.0000
   23. NC12H26               2       580.0000         7.6000         0.0000         0.0000         1.0000
   24. C2H4                  2       238.4000         3.4960         0.0000         0.0000         1.5000
   25. C3H6                  2       307.8000         4.1400         0.0000         0.0000         1.0000
   26. C4H8-1                2       355.0000         4.6500         0.0000         0.0000         1.0000
   27. NC5H10                2       408.0000         5.2000         0.0000         0.0000         1.0000
   28. NC6H12                2       412.3000         5.3490         0.0000         0.0000         1.0000
   29. NC7H14                2       459.9800         6.3100         0.0000         0.0000         1.0000
   30. NC8H16                1       504.4780         6.3680         0.0000         0.0000         0.0000
   31. NC9H18                1       528.9540         6.6480         0.0000         0.0000         0.0000
   32. NC10H20               2       540.9800         7.1500         0.0000         0.0000         1.0000
   33. NC11H22               1       572.0390         7.1740         0.0000         0.0000         0.0000
   34. NC12H24               1       591.3440         7.4240         0.0000         0.0000         0.0000
   35. C4H6                  2       357.0000         4.7200         0.0000         0.0000         1.0000
   36. LC5H8                 2       408.0000         5.2000         0.0000         0.0000         1.0000
   37. DIALLYL               2       426.3000         5.5100         0.0000         0.0000         1.0000
   38. NC7H12                1       488.2430         5.9070         0.0000         0.0000         0.0000
   39. NC8H14                1       515.1050         6.1980         0.0000         0.0000         0.0000
   40. NC9H16                1       539.4180         6.4740         0.0000         0.0000         0.0000
   41. NC10H18               1       561.6960         6.7400         0.0000         0.0000         0.0000
   42. NC11H20               1       582.3240         6.9960         0.0000         0.0000         0.0000
   43. NC12H22               1       601.5960         7.2440         0.0000         0.0000         0.0000
   44. NC16H34               2       650.0000         8.3500         0.0000         0.0000         1.0000
   45. NC30H62               1       835.3410        11.3080         0.0000         0.0000         0.0000
   46. NC45H92               1      1078.3850        13.5140         0.0000         0.0000         0.0000
   47. NC60H122              1      2090.7700        12.1530         0.0000         0.0000         0.0000
   48. NC16H32               1       658.7510         8.3590         0.0000         0.0000         0.0000
   49. NC30H60               1       847.8490        11.1170         0.0000         0.0000         0.0000
   50. NC45H90               1      1098.9060        13.3010         0.0000         0.0000         0.0000
   51. NC60H120              1      2173.4360        11.7250         0.0000         0.0000         0.0000
   52. NC16H30               1       669.1200         8.1740         0.0000         0.0000         0.0000
   53. NC30H58               1       860.6960        10.9250         0.0000         0.0000         0.0000
   54. NC45H88               1      1119.9710        13.0870         0.0000         0.0000         0.0000
   55. NC60H118              1      2259.6970        11.2880         0.0000         0.0000         0.0000
   56. NC16H33               2       650.0000         8.3500         0.0000         0.0000         1.0000
   57. NC30H61               1       835.3410        11.3080         0.0000         0.0000         0.0000
   58. NC45H91               1      1078.3850        13.5140         0.0000         0.0000         0.0000
   59. NC60H121              1      2090.7700        12.1530         0.0000         0.0000         0.0000
   60. NC16H33_T             1       648.6800         8.5410         0.0000         0.0000         0.0000
   61. NC30H61_T             1       835.3410        11.3080         0.0000         0.0000         0.0000
   62. NC45H91_T             1      1078.3850        13.5140         0.0000         0.0000         0.0000
   63. NC60H121_T            1      2090.7700        12.1530         0.0000         0.0000         0.0000
